"Player_initial_last";"tournament id";"pos";"strokes";"n_rounds";"made_cut";"sg_ott";"sg_app";"sg_arg";"sg_putt";"sg_total"
"A. Ancer";401353224;"32";289;4;1;0.86;-0.08;-0.13;0.2;0.85
"A. Hadwin";401353224;"18";286;4;1;0.18;0.31;0.75;0.36;1.6
"A. Lahiri";401353224;"NA";147;2;0;0.37;-1.09;0.74;-0.56;-0.54
"A. Long";401353224;"NA";151;2;0;0.8;-0.02;-1.86;-1.46;-2.54
"A. Noren";401353224;"NA";148;2;0;0.19;-1.39;-0.36;0.53;-1.04
"A. Putnam";401353224;"NA";151;2;0;0.31;-2.02;0.14;-0.97;-2.54
"A. Rai";401353224;"26";287;4;1;-0.12;-1.32;0.74;2.05;1.35
"A. Schenk";401353224;"26";287;4;1;0.48;1.84;-0.01;-0.96;1.35
"A. Scott";401353224;"67";299;4;1;-1.04;2.0;-1.79;-0.82;-1.65
"A. Smalley";401353224;"NA";151;2;0;-0.65;0.71;-0.71;-1.89;-2.54
"A. Svensson";401353224;"45";291;4;1;0.26;-0.18;-0.02;0.28;0.35
"A. Wise";401353224;"2";279;4;1;0.18;1.96;0.05;1.16;3.35
"B. Hagy";401353224;"NA";155;2;0;-0.61;-1.41;-1.58;-0.94;-4.54
"B. Harman";401353224;"18";286;4;1;0.65;0.17;0.66;0.12;1.6
"B. Hoag";401353224;"NA";151;2;0;-0.42;-1.4;0.21;-0.93;-2.54
"B. Horschel";401353224;"1";275;4;1;0.84;1.25;1.31;0.95;4.35
"B. Hossler";401353224;"32";289;4;1;-0.03;-1.5;0.43;1.94;0.85
"B. Snedeker";401353224;"60";295;4;1;-0.92;-1.1;0.25;1.12;-0.65
"B. Steele";401353224;"10";284;4;1;0.86;1.26;-0.22;0.2;2.1
"B. Wu";401353224;"69";300;4;1;0.12;0.12;0.3;-2.44;-1.9
"C. Champ";401353224;"NA";149;2;0;0.36;-1.63;0.0;-0.27;-1.54
"C. Conners";401353224;"13";285;4;1;0.53;2.03;-0.47;-0.24;1.85
"C. Davis";401353224;"53";294;4;1;-0.6;0.88;-0.88;0.19;-0.4
"C. Hoffman";401353224;"NA";147;2;0;0.0;0.14;-0.47;-0.2;-0.54
"C. Howell III";401353224;"18";286;4;1;0.4;1.03;-0.36;0.52;1.6
"C. Kim";401353224;"67";299;4;1;0.19;0.53;-0.98;-1.4;-1.65
"C. Kirk";401353224;"53";294;4;1;0.45;-1.28;0.45;-0.02;-0.4
"C. Luck";401353224;"NA";151;2;0;-0.3;1.35;-0.1;-3.48;-2.54
"C. Morikawa";401353224;"NA";148;2;0;0.86;0.51;-1.99;-0.41;-1.04
"C. Ortiz";401353224;"64";296;4;1;-0.55;-0.8;-0.44;0.88;-0.9
"C. Pan";401353224;"53";294;4;1;-1.05;0.79;0.21;-0.36;-0.4
"C. Smith";401353224;"13";285;4;1;-0.49;0.17;1.38;0.75;1.76
"C. Tringale";401353224;"48";292;4;1;0.59;-0.67;0.35;-0.18;0.1
"C. Villegas";401353224;"53";294;4;1;-0.22;0.01;0.52;-0.71;-0.4
"C. Young";401353224;"60";295;4;1;0.89;-1.18;0.32;-0.68;-0.65
"D. Berger";401353224;"5";282;4;1;0.1;1.34;-0.5;1.65;2.6
"D. Ghim";401353224;"60";295;4;1;0.71;0.41;-1.17;-0.6;-0.65
"D. Lee";401353224;"NA";147;2;0;0.75;1.11;-0.65;-1.75;-0.54
"D. Lingmerth";401353224;"48";292;4;1;-0.24;1.05;-0.8;0.09;0.1
"D. Lipsky";401353224;"37";290;4;1;-0.43;0.31;0.27;0.46;0.6
"D. McCarthy";401353224;"5";282;4;1;-0.71;0.53;1.76;1.21;2.76
"D. Riley";401353224;"13";285;4;1;-0.29;1.28;0.12;0.73;1.85
"D. Willett";401353224;"NA";152;2;0;-0.74;-1.71;0.55;-1.14;-3.04
"E. Grillo";401353224;"32";289;4;1;1.28;-1.0;1.04;-0.48;0.85
"F. Molinari";401353224;"26";287;4;1;-0.51;0.57;0.7;0.59;1.35
"G. Higgo";401353224;"18";286;4;1;0.1;1.68;-0.99;0.81;1.6
"G. Woodland";401353224;"NA";149;2;0;0.75;-0.86;-0.24;-1.19;-1.54
"H. English";401353224;"NA";154;2;0;-2.73;-1.49;-0.03;0.21;-4.04
"H. Swafford";401353224;"NA";151;2;0;-0.39;1.18;-3.01;-0.31;-2.54
"J. Dahmen";401353224;"32";289;4;1;0.42;-0.2;0.36;0.26;0.85
"J. Day";401353224;"31";288;4;1;0.13;-0.87;0.81;1.04;1.1
"J. Dufner";401353224;"NA";150;2;0;-0.26;-1.47;-0.34;0.04;-2.04
"J. Niemann";401353224;"3";281;4;1;1.18;1.58;-0.57;0.67;2.85
"J. Pak";401353224;"NA";153;2;0;-0.59;-0.96;-0.47;-1.51;-3.54
"J. Poston";401353224;"37";290;4;1;-0.3;0.61;-0.42;0.7;0.6
"J. Rahm";401353224;"10";284;4;1;-0.51;0.72;0.48;1.4;2.1
"J. Spieth";401353224;"18";286;4;1;0.37;-0.67;0.64;1.26;1.6
"J. Vegas";401353224;"37";290;4;1;0.3;0.46;0.11;-0.28;0.6
"K. Bradley";401353224;"37";290;4;1;0.2;0.07;-0.52;0.85;0.6
"K. Hickok";401353224;"64";296;4;1;0.05;-0.61;0.61;-0.94;-0.9
"K. Kitayama";401353224;"NA";147;2;0;0.91;-1.01;-0.28;-0.15;-0.54
"K. Lee";401353224;"53";294;4;1;-0.19;0.75;0.1;-1.06;-0.4
"K. Mitchell";401353224;"18";286;4;1;0.52;-0.19;0.61;0.65;1.6
"K. Streelman";401353224;"NA";149;2;0;0.29;0.76;-0.66;-1.94;-1.54
"L. Donald";401353224;"NA";147;2;0;-1.09;-0.91;-0.36;1.82;-0.54
"L. Glover";401353224;"60";295;4;1;0.29;-0.64;-0.41;0.1;-0.65
"L. Griffin";401353224;"51";293;4;1;-0.87;0.1;0.64;-0.02;-0.15
"L. Herbert";401353224;"48";292;4;1;-0.3;-1.14;0.87;0.67;0.1
"L. List";401353224;"26";287;4;1;-0.17;0.31;0.52;0.68;1.35
"M. Fitzpatrick";401353224;"NA";147;2;0;1.18;1.13;0.94;-3.79;-0.54
"M. Homa";401353224;"5";282;4;1;0.11;0.73;0.67;1.09;2.6
"M. Hughes";401353224;"37";290;4;1;-1.07;0.46;0.87;0.34;0.6
"M. Jones";401353224;"NA";149;2;0;0.38;1.34;-0.87;-2.38;-1.54
"M. Kuchar";401353224;"45";291;4;1;-0.51;-0.35;0.34;0.86;0.35
"M. Laird";401353224;"37";290;4;1;-0.03;0.46;0.61;-0.44;0.6
"M. Leishman";401353224;"NA";149;2;0;-0.12;-1.39;-0.8;0.78;-1.54
"M. NeSmith";401353224;"37";290;4;1;0.11;0.63;-0.24;0.1;0.6
"M. Pereira";401353224;"13";285;4;1;0.84;1.12;0.42;-0.53;1.85
"M. Wolff";401353224;"NA";148;2;0;-0.45;-1.91;0.28;1.05;-1.04
"N. Lashley";401353224;"NA";149;2;0;1.13;-1.77;-1.27;0.37;-1.54
